link	volume	year	download_link
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/1-1-1-Trichloroethane-And-Four-Other-Industrial-Chemicals-2022	130	2022	https://publications.iarc.fr/_publications/media/download/6673/5114975c7203f10dc111f5acfdbe497176dab247.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Gentian-Violet-Leucogentian-Violet-Malachite-Green-Leucomalachite-Green-And-CI-Direct-Blue-218-2022	129	2022	https://publications.iarc.fr/_publications/media/download/6436/d58b19a18004963b61644ce6561a43d41c805279.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Acrolein-Crotonaldehyde-And-Arecoline-2021	128	2021	https://publications.iarc.fr/_publications/media/download/6854/d60f7d5b9dc7224532ce502b7182d633f6581722.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Aromatic-Amines-And-Related-Compounds- -2021	127	2021	https://publications.iarc.fr/_publications/media/download/6164/8e8aab7bf50c68a27ad6b28072c4742310142ac3.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Opium-Consumption-2021	126	2021	https://publications.iarc.fr/_publications/media/download/6671/dcba097e3d2d7cb6c95d4419949739dea181c16f.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Industrial-Chemical-Intermediates-And-Solvents-2020	125	2020	https://publications.iarc.fr/_publications/media/download/6400/669238729ab2699947f884a298c31aee1154d873.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Night-Shift-Work-2020	124	2020	https://publications.iarc.fr/_publications/media/download/6397/c965a667eda3a390d9797cbcde59765fef9dcb7a.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Nitrobenzenes-And-Other-Industrial-Chemicals-2020	123	2020	https://publications.iarc.fr/_publications/media/download/6204/33e7979e2113060aa1ea216a125a22feffabac38.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Isobutyl-Nitrite-β-Picoline-And-Some-Acrylates-2019	122	2019	https://publications.iarc.fr/_publications/media/download/5994/f020f11a6da11e6966cb8eacff492542d7f64935.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Styrene-Styrene-7-8-oxide-And-Quinoline-2019	121	2019	https://publications.iarc.fr/_publications/media/download/6060/5894fec08d186b0eb1a24cfa93db2cd97dc2eb2c.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Chemicals-That-Cause-Tumours-Of-The-Urinary-Tract-In-Rodents-2019	119	2019	https://publications.iarc.fr/_publications/media/download/5722/be54378b09f7c8f559e7a529f6947cf8aa0515a6.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Pentachlorophenol-And-Some-Related-Compounds-2019	117	2019	https://publications.iarc.fr/_publications/media/download/5717/3507e6ef7631cd3e073e5cb65415daa0b524989c.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Benzene-2018	120	2018	https://publications.iarc.fr/_publications/media/download/6043/20a78ade14e86cf076c3981a9a094f45da6d27cc.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Welding-Molybdenum-Trioxide-And-Indium-Tin-Oxide-2018	118	2018	https://publications.iarc.fr/_publications/media/download/4890/8dea8d7fcfc96b300786a8718b69e44475274beb.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Drinking-Coffee-Mate-And-Very-Hot-Beverages-2018	116	2018	https://publications.iarc.fr/_publications/media/download/5593/c4abf55679b9972a06319d5cc45e2d9eefd800a6.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Industrial-Chemicals-2018	115	2018	https://publications.iarc.fr/_publications/media/download/5409/5f12a3cfc6a2291b8dca418b2d322642ccb8f0fc.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Red-Meat-And-Processed-Meat-2018	114	2018	https://publications.iarc.fr/_publications/media/download/5659/5d7454aa8257a735c59b78233317f1b0c12b9d50.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Organophosphate-Insecticides-And-Herbicides-2017	112	2017	https://publications.iarc.fr/_publications/media/download/6760/564e917d3cf4026bbc655ce69babf854f46e58d9.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Nanomaterials-And-Some-Fibres-2017	111	2017	https://publications.iarc.fr/_publications/media/download/4518/8df270f8d3c20015be01cb6b4f6313b7b5047f14.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/DDT-Lindane-And-2-4-D-2016	113	2016	https://publications.iarc.fr/_publications/media/download/6117/a21e0a3a3eb924db809e0e9629b698e1e73e266f.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Chemicals-Used-As-Solvents-And-In-Polymer-Manufacture-2016	110	2016	https://publications.iarc.fr/_publications/media/download/6749/25330c7bae29cfccde8cf96dfea833ef80366f5b.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Outdoor-Air-Pollution-2015	109	2015	https://publications.iarc.fr/_publications/media/download/4317/b1f528f1fca20965a2b48a220f47447c1d94e6d1.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Drugs-And-Herbal-Products-2015	108	2015	https://publications.iarc.fr/_publications/media/download/3236/01b340416a6d5cb00c0ae3da38a1e5ae4de26d76.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Polychlorinated-Biphenyls-And-Polybrominated-Biphenyls-2015	107	2015	https://publications.iarc.fr/_publications/media/download/5979/c395f7fad077e8a5774c72c089a212d67cc18de1.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Trichloroethylene-Tetrachloroethylene-And-Some-Other-Chlorinated-Agents-2014	106	2014	https://publications.iarc.fr/_publications/media/download/6688/c1deb8e919b7f30f2505d2f3b5ab3e79f300d097.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Diesel-And-Gasoline-Engine-Exhausts-And-Some-Nitroarenes-2013	105	2013	https://publications.iarc.fr/_publications/media/download/3181/e6bd0692f1a9bb46589d3ca2d8178fa8dcd05ba5.pdf
